,engagement_count,bet_intent_count
FIXTURE:ufo:mtch:1vh-2ft,4,4
FIXTURE:ufo:mtch:1vh-2hy,4,4
FIXTURE:ufo:mtch:1vh-2p2,4,4
FIXTURE:ufo:mtch:1vh-2qe,4,4
FIXTURE:ufo:mtch:1vh-2rf,4,4
FIXTURE:ufo:mtch:1vh-2vh,4,4
FIXTURE:ufo:mtch:1vh-33c,4,4
FIXTURE:ufo:mtch:1vh-33f,4,4
FIXTURE:ufo:mtch:1vh-35z,4,4
FIXTURE:ufo:mtch:1vi-00x,4,4
FIXTURE:ufo:mtch:1vi-025,4,4
FIXTURE:ufo:mtch:1vi-03e,4,4
FIXTURE:ufo:mtch:1vi-04n,4,4
FIXTURE:ufo:mtch:1vi-04o,4,4
FIXTURE:ufo:mtch:1vi-04p,4,4
FIXTURE:ufo:mtch:1vi-051,4,4
FIXTURE:ufo:mtch:1vi-06h,4,4
FIXTURE:ufo:mtch:1vi-06v,4,4
FIXTURE:ufo:mtch:1vi-08c,4,4
FIXTURE:ufo:mtch:1vi-08s,4,4
FIXTURE:ufo:mtch:1vi-0jn,4,4
FIXTURE:ufo:mtch:1vi-13a,4,4
FIXTURE:ufo:mtch:1vi-175,4,4
FIXTURE:ufo:mtch:1vi-179,4,4
FIXTURE:ufo:mtch:1vi-17s,4,4
FIXTURE:ufo:mtch:1vi-17u,4,4
FIXTURE:ufo:mtch:1vi-1b4,4,4
FIXTURE:ufo:mtch:1vi-1f1,4,4
FIXTURE:ufo:mtch:1vi-1jy,4,4
FIXTURE:ufo:mtch:1vi-1k6,4,4
FIXTURE:ufo:mtch:1vi-1l5,4,4
FIXTURE:ufo:mtch:1vi-1pm,4,4
FIXTURE:ufo:mtch:1vi-1ru,4,4
FIXTURE:ufo:mtch:1vi-1sd,4,4
FIXTURE:ufo:mtch:1vi-1sl,4,4
FIXTURE:ufo:mtch:1vi-1ss,4,4
FIXTURE:ufo:mtch:1vi-1zu,4,4
FIXTURE:ufo:mtch:1vi-214,4,4
FIXTURE:ufo:mtch:1vi-25x,4,4
FIXTURE:ufo:mtch:1vi-25y,4,4
FIXTURE:ufo:mtch:1vi-2ej,4,4
FIXTURE:ufo:mtch:1vi-2ek,4,4
FIXTURE:ufo:mtch:1vi-2em,4,4
FIXTURE:ufo:mtch:1vi-2k7,4,4
FIXTURE:ufo:mtch:1vi-2lu,4,4
FIXTURE:ufo:mtch:1vi-2q6,4,4
FIXTURE:ufo:mtch:1vi-2q8,4,4
FIXTURE:ufo:mtch:1vj-01l,4,4
FIXTURE:ufo:mtch:1vj-01w,4,4
FIXTURE:ufo:mtch:1vj-029,4,4
FIXTURE:ufo:mtch:1vj-02f,4,4
FIXTURE:ufo:mtch:1vj-02g,4,4
FIXTURE:ufo:mtch:1vj-035,4,4
FIXTURE:ufo:mtch:1vj-03z,4,4
FIXTURE:ufo:mtch:1vj-04g,4,4
FIXTURE:ufo:mtch:1vj-055,4,4
FIXTURE:ufo:mtch:1vj-05c,4,4
FIXTURE:ufo:mtch:1vj-05d,4,4
FIXTURE:ufo:mtch:1vj-05x,4,4
FIXTURE:ufo:mtch:1vj-060,4,4
FIXTURE:ufo:mtch:1vj-06s,4,4
FIXTURE:ufo:mtch:1vj-06z,4,4
FIXTURE:ufo:mtch:1vj-074,4,4
FIXTURE:ufo:mtch:1vj-07z,4,4
FIXTURE:ufo:mtch:1vj-08p,4,4
FIXTURE:ufo:mtch:1vj-096,4,4
FIXTURE:ufo:mtch:1vj-0bd,4,4
FIXTURE:ufo:mtch:1vj-0bs,4,4
FIXTURE:ufo:mtch:1vj-0bz,4,4
FIXTURE:ufo:mtch:1vj-0cr,4,4
FIXTURE:ufo:mtch:1vj-0dl,4,4
FIXTURE:ufo:mtch:1vj-0dm,4,4
FIXTURE:ufo:mtch:1vj-0e8,4,4
FIXTURE:ufo:mtch:1vj-0jm,4,4
FIXTURE:ufo:mtch:1vj-0mu,4,4
FIXTURE:ufo:mtch:1vj-141,4,4
FIXTURE:ufo:mtch:1vj-14c,4,4
FIXTURE:ufo:mtch:1vj-19e,4,4
FIXTURE:ufo:mtch:1vj-1dl,4,4
FIXTURE:ufo:mtch:1vj-1e7,4,4
FIXTURE:ufo:mtch:1vj-1e8,4,4
FIXTURE:ufo:mtch:1vj-1ex,4,4
FIXTURE:ufo:mtch:1vj-1gf,4,4
FIXTURE:ufo:mtch:1vj-1gp,4,4
FIXTURE:ufo:mtch:1vj-1hj,4,4
FIXTURE:ufo:mtch:1vj-1j8,4,4
FIXTURE:ufo:mtch:1vj-1je,4,4
FIXTURE:ufo:mtch:1vj-1jr,4,4
FIXTURE:ufo:mtch:1vj-1k4,4,4
FIXTURE:ufo:mtch:1vj-1k5,4,4
FIXTURE:ufo:mtch:1vj-1nu,4,4
FIXTURE:ufo:mtch:1vj-1p8,4,4
FIXTURE:ufo:mtch:1vj-1s7,4,4
FIXTURE:ufo:mtch:1vj-1si,4,4
FIXTURE:ufo:mtch:1vj-1um,4,4
FIXTURE:ufo:mtch:1vj-1vm,4,4
FIXTURE:ufo:mtch:1vj-1vo,4,4
FIXTURE:ufo:mtch:1vj-1xc,4,4
FIXTURE:ufo:mtch:1vj-2jd,4,4
FIXTURE:ufo:mtch:1vj-2qd,4,4
FIXTURE:ufo:mtch:1vk-00s,4,4
FIXTURE:ufo:mtch:1vk-00t,4,4
FIXTURE:ufo:mtch:1vk-00v,4,4
FIXTURE:ufo:mtch:1vk-02i,4,4
FIXTURE:ufo:mtch:1vk-02u,4,4
FIXTURE:ufo:mtch:1vk-02y,4,4
FIXTURE:ufo:mtch:1vk-037,4,4
FIXTURE:ufo:mtch:1vk-03a,4,4
FIXTURE:ufo:mtch:1vk-03q,4,4
FIXTURE:ufo:mtch:1vk-04m,4,4
FIXTURE:ufo:mtch:1vk-05h,4,4
FIXTURE:ufo:mtch:1vk-05y,4,4
FIXTURE:ufo:mtch:1vk-07v,4,4
FIXTURE:ufo:mtch:1vk-08t,4,4
FIXTURE:ufo:mtch:1vk-091,4,4
FIXTURE:ufo:mtch:1vk-09b,4,4
FIXTURE:ufo:mtch:1vk-09y,4,4
FIXTURE:ufo:mtch:1vk-0a3,4,4
FIXTURE:ufo:mtch:1vk-0ap,4,4
FIXTURE:ufo:mtch:1vk-0ar,4,4
FIXTURE:ufo:mtch:1vk-0b3,4,4
FIXTURE:ufo:mtch:1vk-0ea,4,4
FIXTURE:ufo:mtch:1vk-0i1,4,4
FIXTURE:ufo:mtch:1vk-0i4,4,4
FIXTURE:ufo:mtch:1vk-0i6,4,4
FIXTURE:ufo:mtch:1vk-0j5,4,4
FIXTURE:ufo:mtch:1vk-0ka,4,4
FIXTURE:ufo:mtch:1vk-0md,4,4
FIXTURE:ufo:mtch:1vk-0mn,4,4
FIXTURE:ufo:mtch:1vk-0o4,4,4
FIXTURE:ufo:mtch:1vk-0q3,4,4
FIXTURE:ufo:mtch:1vk-0qe,4,4
FIXTURE:ufo:mtch:1vk-0qt,4,4
FIXTURE:ufo:mtch:1vk-0qx,4,4
FIXTURE:ufo:mtch:1vk-0r3,4,4
FIXTURE:ufo:mtch:1vk-0r8,4,4
FIXTURE:ufo:mtch:1vk-0rn,4,4
FIXTURE:ufo:mtch:1vk-0zs,4,4
FIXTURE:ufo:mtch:1vk-10k,4,4
FIXTURE:ufo:mtch:1vk-12n,4,4
FIXTURE:ufo:mtch:1vk-16q,4,4
FIXTURE:ufo:mtch:1vk-17v,4,4
FIXTURE:ufo:mtch:1vk-182,4,4
FIXTURE:ufo:mtch:1vk-187,4,4
FIXTURE:ufo:mtch:1vk-1sb,4,4
FIXTURE:ufo:mtch:1vk-1sd,4,4
FIXTURE:ufo:mtch:1vk-1tg,4,4
FIXTURE:ufo:mtch:1vk-1us,4,4
FIXTURE:ufo:mtch:1vk-1uy,4,4
FIXTURE:ufo:mtch:1vk-1vv,4,4
FIXTURE:ufo:mtch:1vk-1wa,4,4
FIXTURE:ufo:mtch:1vk-1wg,4,4
FIXTURE:ufo:mtch:1vk-1wh,4,4
FIXTURE:ufo:mtch:1vk-1wk,4,4
FIXTURE:ufo:mtch:1vk-1wv,4,4
FIXTURE:ufo:mtch:1vk-1xw,4,4
FIXTURE:ufo:mtch:1vk-27u,4,4
FIXTURE:ufo:mtch:1vk-2h2,4,4
FIXTURE:ufo:mtch:1vk-2if,4,4
FIXTURE:ufo:mtch:1vk-2ix,4,4
FIXTURE:ufo:mtch:1vk-2v1,4,4
FIXTURE:ufo:mtch:1vk-2xu,4,4
FIXTURE:ufo:mtch:1vk-3a8,4,4
FIXTURE:ufo:mtch:1vk-3fz,4,4
FIXTURE:ufo:mtch:1vk-3lk,4,4
FIXTURE:ufo:mtch:1vl-000,4,4
FIXTURE:ufo:mtch:1vl-006,4,4
FIXTURE:ufo:mtch:1vl-02j,4,4
FIXTURE:ufo:mtch:1vl-03g,4,4
FIXTURE:ufo:mtch:1vl-04s,4,4
FIXTURE:ufo:mtch:1vl-065,4,4
FIXTURE:ufo:mtch:1vl-06h,4,4
FIXTURE:ufo:mtch:1vl-06l,4,4
FIXTURE:ufo:mtch:1vl-07g,4,4
FIXTURE:ufo:mtch:1vl-07q,4,4
FIXTURE:ufo:mtch:1vl-08n,4,4
FIXTURE:ufo:mtch:1vl-09y,4,4
FIXTURE:ufo:mtch:1vl-0a4,4,4
FIXTURE:ufo:mtch:1vl-0a7,4,4
FIXTURE:ufo:mtch:1vl-0e1,4,4
FIXTURE:ufo:mtch:1vl-0e7,4,4
FIXTURE:ufo:mtch:1vl-0g2,4,4
FIXTURE:ufo:mtch:1vl-0gz,4,4
FIXTURE:ufo:mtch:1vl-0ho,4,4
FIXTURE:ufo:mtch:1vl-0im,4,4
FIXTURE:ufo:mtch:1vl-0ix,4,4
FIXTURE:ufo:mtch:1vl-0k6,4,4
FIXTURE:ufo:mtch:1vl-0kh,4,4
FIXTURE:ufo:mtch:1vl-0l2,4,4
FIXTURE:ufo:mtch:1vl-0l3,4,4
FIXTURE:ufo:mtch:1vl-0ma,4,4
FIXTURE:ufo:mtch:1vl-0n2,4,4
FIXTURE:ufo:mtch:1vl-0n3,4,4
FIXTURE:ufo:mtch:1vl-0o5,4,4
FIXTURE:ufo:mtch:1vl-0t0,4,4
FIXTURE:ufo:mtch:1vl-0ti,4,4
FIXTURE:ufo:mtch:1vl-0wo,4,4
FIXTURE:ufo:mtch:1vl-0xn,4,4
FIXTURE:ufo:mtch:1vl-0xy,4,4
FIXTURE:ufo:mtch:1vl-0zo,4,4
FIXTURE:ufo:mtch:1vl-15d,4,4
FIXTURE:ufo:mtch:1vl-19g,4,4
FIXTURE:ufo:mtch:1vl-1o2,4,4
FIXTURE:ufo:mtch:1vl-1r3,4,4
FIXTURE:ufo:mtch:1vl-1zb,4,4
FIXTURE:ufo:mtch:1vl-20w,4,4
FIXTURE:ufo:mtch:1vl-21e,4,4
FIXTURE:ufo:mtch:1vl-21y,4,4
FIXTURE:ufo:mtch:1vl-229,4,4
FIXTURE:ufo:mtch:1vl-23e,4,4
FIXTURE:ufo:mtch:1vl-23k,4,4
FIXTURE:ufo:mtch:1vl-2cd,4,4
FIXTURE:ufo:mtch:1vl-2cu,4,4
FIXTURE:ufo:mtch:1vl-2cy,4,4
FIXTURE:ufo:mtch:1vl-2d0,4,4
FIXTURE:ufo:mtch:1vl-2ex,4,4
FIXTURE:ufo:mtch:1vl-2ey,4,4
FIXTURE:ufo:mtch:1vl-2ez,4,4
FIXTURE:ufo:mtch:1vl-2o9,4,4
FIXTURE:ufo:mtch:1vl-2oi,4,4
FIXTURE:ufo:mtch:1vl-2p0,4,4
FIXTURE:ufo:mtch:1vl-2p5,4,4
FIXTURE:ufo:mtch:1vl-2pz,4,4
FIXTURE:ufo:mtch:1vm-00f,4,4
FIXTURE:ufo:mtch:1vm-01i,4,4
FIXTURE:ufo:mtch:1vm-024,4,4
FIXTURE:ufo:mtch:1vm-02b,4,4
FIXTURE:ufo:mtch:1vm-033,4,4
FIXTURE:ufo:mtch:1vm-038,4,4
FIXTURE:ufo:mtch:1vm-045,4,4
FIXTURE:ufo:mtch:1vm-078,4,4
FIXTURE:ufo:mtch:1vm-0ip,4,4
FIXTURE:ufo:mtch:1vm-0j6,4,4
FIXTURE:ufo:mtch:1vm-0nr,4,4
FIXTURE:ufo:mtch:1vm-0wp,4,4
FIXTURE:ufo:mtch:1vm-10w,4,4
FIXTURE:ufo:mtch:1vm-1bu,4,4
FIXTURE:ufo:mtch:1vm-1c7,4,4
FIXTURE:ufo:mtch:1vm-1c9,4,4
FIXTURE:ufo:mtch:1vm-1dj,4,4
FIXTURE:ufo:mtch:1vm-1dk,4,4
FIXTURE:ufo:mtch:1vm-1dv,4,4
FIXTURE:ufo:mtch:1vm-1f6,4,4
FIXTURE:ufo:mtch:1vm-1fy,4,4
FIXTURE:ufo:mtch:1vm-26b,4,4
FIXTURE:ufo:mtch:1vm-26t,4,4
FIXTURE:ufo:mtch:1vm-27k,4,4
FIXTURE:ufo:mtch:1vm-27q,4,4
FIXTURE:ufo:mtch:1vm-2o2,4,4
FIXTURE:ufo:mtch:1vm-2o6,4,4
FIXTURE:ufo:mtch:1vm-2ow,4,4
FIXTURE:ufo:mtch:1vm-2r0,4,4
FIXTURE:ufo:mtch:1vm-2r7,4,4
FIXTURE:ufo:mtch:1vn-01q,4,4
FIXTURE:ufo:mtch:1vs-02n,4,4
FIXTURE:ufo:race:1v1-0dy,4,4
FIXTURE:ufo:mtch:1us-071,3,3
FIXTURE:ufo:mtch:1us-089,3,3
FIXTURE:ufo:mtch:1us-08p,3,3
FIXTURE:ufo:mtch:1us-08s,3,3
FIXTURE:ufo:mtch:1us-091,3,3
FIXTURE:ufo:mtch:1us-0a8,3,3
FIXTURE:ufo:mtch:1us-0am,3,3
FIXTURE:ufo:mtch:1us-0az,3,3
FIXTURE:ufo:mtch:1us-0c4,3,3
FIXTURE:ufo:mtch:1us-0dy,3,3
FIXTURE:ufo:mtch:1us-0fo,3,3
FIXTURE:ufo:mtch:1us-0gk,3,3
FIXTURE:ufo:mtch:1us-0mr,3,3
FIXTURE:ufo:mtch:1us-0op,3,3
FIXTURE:ufo:mtch:1us-0p7,3,3
FIXTURE:ufo:mtch:1us-0pa,3,3
FIXTURE:ufo:mtch:1us-0rz,3,3
FIXTURE:ufo:mtch:1us-0ui,3,3
FIXTURE:ufo:mtch:1us-0wq,3,3
FIXTURE:ufo:mtch:1us-0xx,3,3
FIXTURE:ufo:mtch:1us-0yy,3,3
FIXTURE:ufo:mtch:1us-0zd,3,3
FIXTURE:ufo:mtch:1us-10c,3,3
FIXTURE:ufo:mtch:1us-137,3,3
FIXTURE:ufo:mtch:1us-14c,3,3
FIXTURE:ufo:mtch:1us-15n,3,3
FIXTURE:ufo:mtch:1us-16f,3,3
FIXTURE:ufo:mtch:1us-16g,3,3
FIXTURE:ufo:mtch:1us-1ib,3,3
FIXTURE:ufo:mtch:1us-1jh,3,3
FIXTURE:ufo:mtch:1us-1jw,3,3
FIXTURE:ufo:mtch:1us-1ld,3,3
FIXTURE:ufo:mtch:1us-1le,3,3
FIXTURE:ufo:mtch:1us-1m2,3,3
FIXTURE:ufo:mtch:1us-1mb,3,3
FIXTURE:ufo:mtch:1us-1mg,3,3
FIXTURE:ufo:mtch:1us-1mo,3,3
FIXTURE:ufo:mtch:1us-1n1,3,3
FIXTURE:ufo:mtch:1us-1n2,3,3
FIXTURE:ufo:mtch:1us-1ot,3,3
FIXTURE:ufo:mtch:1us-1pa,3,3
FIXTURE:ufo:mtch:1us-1q3,3,3
FIXTURE:ufo:mtch:1us-1q5,3,3
FIXTURE:ufo:mtch:1us-1qt,3,3
FIXTURE:ufo:mtch:1us-1tb,3,3
FIXTURE:ufo:mtch:1us-1w5,3,3
FIXTURE:ufo:mtch:1us-2rp,3,3
FIXTURE:ufo:mtch:1us-2rq,3,3
FIXTURE:ufo:mtch:1us-2sx,3,3
FIXTURE:ufo:mtch:1us-2sy,3,3
FIXTURE:ufo:mtch:1us-2v4,3,3
FIXTURE:ufo:mtch:1us-2w4,3,3
FIXTURE:ufo:mtch:1us-2wn,3,3
FIXTURE:ufo:mtch:1us-2wu,3,3
FIXTURE:ufo:mtch:1us-2y3,3,3
FIXTURE:ufo:mtch:1us-309,3,3
FIXTURE:ufo:mtch:1us-30i,3,3
FIXTURE:ufo:mtch:1us-31m,3,3
FIXTURE:ufo:mtch:1us-35h,3,3
FIXTURE:ufo:mtch:1us-3e0,3,3
FIXTURE:ufo:mtch:1ut-015,3,3
FIXTURE:ufo:mtch:1ut-01y,3,3
FIXTURE:ufo:mtch:1ut-02c,3,3
FIXTURE:ufo:mtch:1ut-02v,3,3
FIXTURE:ufo:mtch:1ut-04g,3,3
FIXTURE:ufo:mtch:1ut-04t,3,3
FIXTURE:ufo:mtch:1ut-08u,3,3
FIXTURE:ufo:mtch:1ut-094,3,3
FIXTURE:ufo:mtch:1ut-099,3,3
FIXTURE:ufo:mtch:1ut-09a,3,3
FIXTURE:ufo:mtch:1ut-09k,3,3
FIXTURE:ufo:mtch:1ut-0b0,3,3
FIXTURE:ufo:mtch:1ut-0ch,3,3
FIXTURE:ufo:mtch:1ut-0cu,3,3
FIXTURE:ufo:mtch:1ut-0cz,3,3
FIXTURE:ufo:mtch:1ut-0dk,3,3
FIXTURE:ufo:mtch:1ut-0dw,3,3
FIXTURE:ufo:mtch:1ut-0f9,3,3
FIXTURE:ufo:mtch:1ut-0hk,3,3
FIXTURE:ufo:mtch:1ut-0jd,3,3
FIXTURE:ufo:mtch:1ut-0lg,3,3
FIXTURE:ufo:mtch:1ut-0n8,3,3
FIXTURE:ufo:mtch:1ut-0qd,3,3
FIXTURE:ufo:mtch:1ut-0ql,3,3
FIXTURE:ufo:mtch:1ut-0rb,3,3
FIXTURE:ufo:mtch:1ut-0ta,3,3
FIXTURE:ufo:mtch:1ut-0uw,3,3
FIXTURE:ufo:mtch:1ut-0v1,3,3
FIXTURE:ufo:mtch:1ut-0vg,3,3
FIXTURE:ufo:mtch:1ut-0vk,3,3
FIXTURE:ufo:mtch:1ut-0w6,3,3
FIXTURE:ufo:mtch:1ut-0wk,3,3
FIXTURE:ufo:mtch:1ut-11c,3,3
FIXTURE:ufo:mtch:1ut-1d1,3,3
FIXTURE:ufo:mtch:1ut-1dj,3,3
FIXTURE:ufo:mtch:1ut-1ds,3,3
FIXTURE:ufo:mtch:1ut-1fd,3,3
FIXTURE:ufo:mtch:1ut-1fe,3,3
FIXTURE:ufo:mtch:1ut-1fx,3,3
FIXTURE:ufo:mtch:1ut-1g1,3,3
FIXTURE:ufo:mtch:1ut-1hn,3,3
FIXTURE:ufo:mtch:1ut-1i0,3,3
FIXTURE:ufo:mtch:1ut-1i7,3,3
FIXTURE:ufo:mtch:1ut-1ia,3,3
FIXTURE:ufo:mtch:1ut-1ip,3,3
FIXTURE:ufo:mtch:1ut-1j8,3,3
FIXTURE:ufo:mtch:1ut-1jp,3,3
FIXTURE:ufo:mtch:1ut-1jx,3,3
FIXTURE:ufo:mtch:1ut-1k1,3,3
FIXTURE:ufo:mtch:1ut-1kn,3,3
FIXTURE:ufo:mtch:1ut-1mz,3,3
FIXTURE:ufo:mtch:1ut-1n3,3,3
FIXTURE:ufo:mtch:1ut-1n4,3,3
FIXTURE:ufo:mtch:1ut-1n7,3,3
FIXTURE:ufo:mtch:1ut-1o3,3,3
FIXTURE:ufo:mtch:1ut-1q8,3,3
FIXTURE:ufo:mtch:1ut-1re,3,3
FIXTURE:ufo:mtch:1ut-1rh,3,3
FIXTURE:ufo:mtch:1ut-1t6,3,3
FIXTURE:ufo:mtch:1ut-1xm,3,3
FIXTURE:ufo:mtch:1ut-1y5,3,3
FIXTURE:ufo:mtch:1ut-1yc,3,3
FIXTURE:ufo:mtch:1ut-24m,3,3
FIXTURE:ufo:mtch:1ut-2d5,3,3
FIXTURE:ufo:mtch:1ut-2es,3,3
FIXTURE:ufo:mtch:1ut-2hw,3,3
FIXTURE:ufo:mtch:1ut-2i0,3,3
FIXTURE:ufo:mtch:1ut-2jy,3,3
FIXTURE:ufo:mtch:1ut-2kf,3,3
FIXTURE:ufo:mtch:1ut-2ko,3,3
FIXTURE:ufo:mtch:1ut-2ms,3,3
FIXTURE:ufo:mtch:1ut-2ol,3,3
FIXTURE:ufo:mtch:1ut-2om,3,3
FIXTURE:ufo:mtch:1ut-2p0,3,3
FIXTURE:ufo:mtch:1ut-2v2,3,3
FIXTURE:ufo:mtch:1ut-2v9,3,3
FIXTURE:ufo:mtch:1uu-010,3,3
FIXTURE:ufo:mtch:1uu-01j,3,3
FIXTURE:ufo:mtch:1uu-02a,3,3
FIXTURE:ufo:mtch:1uu-02b,3,3
FIXTURE:ufo:mtch:1uu-082,3,3
FIXTURE:ufo:mtch:1uu-0a8,3,3
FIXTURE:ufo:mtch:1uu-0b3,3,3
FIXTURE:ufo:mtch:1uu-0bv,3,3
FIXTURE:ufo:mtch:1uu-0dg,3,3
FIXTURE:ufo:mtch:1uu-0gg,3,3
FIXTURE:ufo:mtch:1uu-0gm,3,3
FIXTURE:ufo:mtch:1uu-0vl,3,3
FIXTURE:ufo:mtch:1uu-0x9,3,3
FIXTURE:ufo:mtch:1uu-0xh,3,3
FIXTURE:ufo:mtch:1uu-0xl,3,3
FIXTURE:ufo:mtch:1uu-0y5,3,3
FIXTURE:ufo:mtch:1uu-0ye,3,3
FIXTURE:ufo:mtch:1uu-0yi,3,3
FIXTURE:ufo:mtch:1uu-0z2,3,3
FIXTURE:ufo:mtch:1uu-107,3,3
FIXTURE:ufo:mtch:1uu-11e,3,3
FIXTURE:ufo:mtch:1uu-13m,3,3
FIXTURE:ufo:mtch:1uu-17p,3,3
FIXTURE:ufo:mtch:1uu-188,3,3
FIXTURE:ufo:mtch:1uu-197,3,3
FIXTURE:ufo:mtch:1uu-19g,3,3
FIXTURE:ufo:mtch:1uu-19n,3,3
FIXTURE:ufo:mtch:1uu-1at,3,3
FIXTURE:ufo:mtch:1uu-1ca,3,3
FIXTURE:ufo:mtch:1uu-1dx,3,3
FIXTURE:ufo:mtch:1uu-1ej,3,3
FIXTURE:ufo:mtch:1uu-1fx,3,3
FIXTURE:ufo:mtch:1uu-1gb,3,3
FIXTURE:ufo:mtch:1uu-1h7,3,3
FIXTURE:ufo:mtch:1uu-1il,3,3
FIXTURE:ufo:mtch:1uu-1km,3,3
FIXTURE:ufo:mtch:1uu-1kr,3,3
FIXTURE:ufo:mtch:1uu-1l1,3,3
FIXTURE:ufo:mtch:1uu-1xj,3,3
FIXTURE:ufo:mtch:1uu-1z3,3,3
FIXTURE:ufo:mtch:1uu-1z7,3,3
FIXTURE:ufo:mtch:1uu-1zb,3,3
FIXTURE:ufo:mtch:1uu-203,3,3
FIXTURE:ufo:mtch:1uu-20m,3,3
FIXTURE:ufo:mtch:1uu-212,3,3
FIXTURE:ufo:mtch:1uu-214,3,3
FIXTURE:ufo:mtch:1uu-22h,3,3
FIXTURE:ufo:mtch:1uu-22u,3,3
FIXTURE:ufo:mtch:1uu-232,3,3
FIXTURE:ufo:mtch:1uu-23q,3,3
FIXTURE:ufo:mtch:1uu-23y,3,3
FIXTURE:ufo:mtch:1uu-242,3,3
FIXTURE:ufo:mtch:1uu-24t,3,3
FIXTURE:ufo:mtch:1uu-25f,3,3
FIXTURE:ufo:mtch:1uu-25j,3,3
FIXTURE:ufo:mtch:1uu-26b,3,3
FIXTURE:ufo:mtch:1uu-27d,3,3
FIXTURE:ufo:mtch:1uu-28p,3,3
FIXTURE:ufo:mtch:1uu-299,3,3
FIXTURE:ufo:mtch:1uu-29g,3,3
FIXTURE:ufo:mtch:1uv-010,3,3
FIXTURE:ufo:mtch:1uv-017,3,3
FIXTURE:ufo:mtch:1uv-03e,3,3
FIXTURE:ufo:mtch:1uv-07w,3,3
FIXTURE:ufo:mtch:1uv-0ee,3,3
FIXTURE:ufo:mtch:1uv-0eg,3,3
FIXTURE:ufo:mtch:1uv-0si,3,3
FIXTURE:ufo:mtch:1uv-122,3,3
FIXTURE:ufo:mtch:1uv-124,3,3
FIXTURE:ufo:mtch:1uv-12d,3,3
FIXTURE:ufo:mtch:1uv-12f,3,3
FIXTURE:ufo:mtch:1uv-13s,3,3
FIXTURE:ufo:mtch:1uv-14c,3,3
FIXTURE:ufo:mtch:1uv-15g,3,3
FIXTURE:ufo:mtch:1uv-15s,3,3
FIXTURE:ufo:mtch:1uv-15w,3,3
FIXTURE:ufo:mtch:1uv-1aq,3,3
FIXTURE:ufo:mtch:1uv-1dc,3,3
FIXTURE:ufo:mtch:1uv-1j9,3,3
FIXTURE:ufo:mtch:1uv-1jq,3,3
FIXTURE:ufo:mtch:1uv-1kt,3,3
FIXTURE:ufo:mtch:1uv-1mo,3,3
FIXTURE:ufo:mtch:1uv-25x,3,3
FIXTURE:ufo:mtch:1uv-28g,3,3
FIXTURE:ufo:mtch:1uv-291,3,3
FIXTURE:ufo:mtch:1uv-29l,3,3
FIXTURE:ufo:mtch:1uv-2az,3,3
FIXTURE:ufo:mtch:1uv-2ds,3,3
FIXTURE:ufo:mtch:1uv-2g1,3,3
FIXTURE:ufo:mtch:1uv-2i1,3,3
FIXTURE:ufo:mtch:1uw-00p,3,3
FIXTURE:ufo:mtch:1uw-015,3,3
FIXTURE:ufo:mtch:1uw-04w,3,3
FIXTURE:ufo:mtch:1uw-05c,3,3
FIXTURE:ufo:mtch:1uw-0ap,3,3
FIXTURE:ufo:mtch:1uw-0aq,3,3
FIXTURE:ufo:mtch:1uw-0bl,3,3
FIXTURE:ufo:mtch:1uw-0jp,3,3
FIXTURE:ufo:mtch:1uw-0ym,3,3
FIXTURE:ufo:mtch:1uw-124,3,3
FIXTURE:ufo:mtch:1uw-185,3,3
FIXTURE:ufo:mtch:1uw-18y,3,3
FIXTURE:ufo:mtch:1uw-19p,3,3
FIXTURE:ufo:mtch:1uw-19x,3,3
FIXTURE:ufo:mtch:1uw-1a4,3,3
FIXTURE:ufo:mtch:1uw-1m1,3,3
FIXTURE:ufo:mtch:1uw-1r2,3,3
FIXTURE:ufo:mtch:1uw-1uc,3,3
FIXTURE:ufo:mtch:1uw-27l,3,3
FIXTURE:ufo:mtch:1uw-29k,3,3
FIXTURE:ufo:mtch:1uw-29m,3,3
FIXTURE:ufo:mtch:1uw-29p,3,3
FIXTURE:ufo:mtch:1uw-2bc,3,3
FIXTURE:ufo:mtch:1uw-2ej,3,3
FIXTURE:ufo:mtch:1uw-2f7,3,3
FIXTURE:ufo:mtch:1uw-2fy,3,3
FIXTURE:ufo:mtch:1uw-2kx,3,3
FIXTURE:ufo:mtch:1uw-2o8,3,3
FIXTURE:ufo:mtch:1uw-2v2,3,3
FIXTURE:ufo:mtch:1ux-001,3,3
FIXTURE:ufo:mtch:1ux-002,3,3
FIXTURE:ufo:mtch:1ux-003,3,3
FIXTURE:ufo:mtch:1ux-004,3,3
FIXTURE:ufo:mtch:1ux-018,3,3
FIXTURE:ufo:mtch:1ux-02b,3,3
FIXTURE:ufo:mtch:1ux-042,3,3
FIXTURE:ufo:mtch:1ux-074,3,3
FIXTURE:ufo:mtch:1ux-08v,3,3
FIXTURE:ufo:mtch:1ux-09n,3,3
FIXTURE:ufo:mtch:1ux-0a3,3,3
FIXTURE:ufo:mtch:1ux-0a4,3,3
FIXTURE:ufo:mtch:1ux-0a5,3,3
FIXTURE:ufo:mtch:1ux-0e7,3,3
FIXTURE:ufo:mtch:1ux-0fa,3,3
FIXTURE:ufo:mtch:1ux-0fo,3,3
FIXTURE:ufo:mtch:1ux-0fp,3,3
FIXTURE:ufo:mtch:1ux-0j4,3,3
FIXTURE:ufo:mtch:1ux-0nb,3,3
